baseline,mechanism_profile,job_id,workload,seed,duration_source,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,queue_wait_ms_total,energy_estimated_j,energy_per_job_j,tool_pause_ms,resume_prefill_ms,resume_reload_bytes,cross_region_sram_bytes,shared_prefill_compute_ms_saved,shared_prefill_tokens_saved,private_prefill_tokens_computed,unique_shared_prefix_tokens_computed,logical_shared_prefix_tokens,prefix_compute_hit_rate,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,mesh_wait_ms,communication_time_ms,prefill_tile_utilization,decode_tile_utilization,tile_busy_time_ms,tile_idle_time_ms,pd_interference_ms,sram_evictions,sram_reload_bytes,sram_spill_bytes,sram_hit_rate,prefix_block_reuse_count,ttl_pinned_bytes,ttl_eviction_avoided_count,calibration_loaded,num_agents,shared_prefix_ratio,tool_latency_mean_ms,input_len,link_bandwidth_GBps,sram_per_tile_mb
wafer_naive,neutral,sensitivity_num_agents_2,debate,19,synthetic,129.2536704274653,10.258698239999998,13.70777456686632,13.70777456686632,7.736724200502925,2818572288.0,2818572288.0,0.0,1.0,2818572288.0,0.0,85.22694656000002,132.24139653493054,0.0031536000000187414,0.008908703436800001,0.008908703436800001,0.0,0.0,0.0,0.0,0.0,0.0,21504.0,0.0,0.0,0.0,8704.0,967.1111111111111,1024.0,1.0588235294117647,0.0,0.0035740800000000003,0.0002683668620210507,0.0011418800382502782,327.1305396298611,529095.903531268,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,
waferagent_full,neutral,sensitivity_num_agents_2,debate,19,synthetic,105.65973026746528,9.672642559999996,13.70777456686632,13.707774566866323,9.46434367633361,2818572288.0,1560281088.0,0.4464285714285714,1.8064516129032258,1560281088.0,0.0,43.69154048,132.24139653493054,0.0008409600000049977,0.0089087021056,0.0089087021056,0.0,0.0,0.0,0.0,41.53540608,9728.0,10752.0,1024.0,10752.0,0.9,2048.0,1024.0,1024.0,1.0,0.0,0.0008409600000000001,0.0002579611695889969,0.0009183548902339025,285.5951335498611,432496.6600419879,0.0,0.0,0.0,0.0,0.9,9.0,0.0,0.0,0.0,2.0,,,,,
wafer_naive,neutral,sensitivity_num_agents_4,debate,19,synthetic,131.67347778746532,10.863104000000003,13.70777456686632,13.70777456686632,7.5945438428694345,5100273664.0,5100273664.0,0.0,1.0,5100273664.0,0.0,154.41592320000007,241.90359306986113,0.010593920000047774,0.016156467404799996,0.016156467404799996,0.0,0.0,0.0,0.0,0.0,0.0,38912.0,0.0,0.0,0.0,41984.0,2469.6470588235293,4096.0,1.6585365853658538,0.0,0.013239680000000016,0.00047729690630018723,0.002137166664000302,615.6439093397221,538718.9211081183,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,
waferagent_full,neutral,sensitivity_num_agents_4,debate,19,synthetic,106.69656962746527,9.672642559999996,13.707774566866322,13.707774566866323,9.372372546667005,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,2717908992.0,0.0,75.61150463999999,241.90359306986107,0.0042457600000105344,0.0161564622848,0.0161564622848,0.0,0.0,0.0,0.0,78.80441856000002,18432.0,19456.0,1024.0,19456.0,0.9444444444444444,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.000453687061651806,0.0017059196981256673,536.839490779722,436492.309703318,0.0,0.0,0.0,0.0,0.9444444444444444,17.0,0.0,0.0,0.0,4.0,,,,,
wafer_naive,neutral,sensitivity_num_agents_8,debate,19,synthetic,136.73353922746531,12.126965760000004,13.70777456686632,13.70777456686632,7.313494594303111,9663676416.0,9663676416.0,0.0,1.0,9663676416.0,0.0,293.01407744000005,461.2279861397222,0.038334720000193556,0.0306520199168,0.0306520199168,0.0,0.0,0.0,0.0,0.0,0.0,73728.0,0.0,0.0,0.0,231424.0,7012.848484848485,16384.0,2.336283185840708,0.0,0.05182847999999996,0.0008721843188490656,0.004015402019282883,1192.890849719444,558867.6858259785,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,
waferagent_full,neutral,sensitivity_num_agents_8,debate,19,synthetic,131.63935330746523,9.67264256,13.707774566866323,13.707774566866323,7.596512553995434,9663676416.0,5033164800.0,0.47916666666666663,1.92,5033164800.0,0.0,139.5064832,461.2279861397222,22.83898592000004,0.0308801697792,0.0308801697792,0.0,0.0,0.0,142606336.0,153.50759424000003,35840.0,36864.0,1024.0,36864.0,0.9705882352941176,1140980736.0,33558256.941176474,142606336.0,4.249515588666345,0.013044480000047542,22.856259200000018,0.0006881576305146452,0.0026744621274138055,1039.383255479444,538155.4078918982,0.0,0.0,0.0,0.0,0.9411764705882353,33.0,0.0,0.0,0.0,8.0,,,,,
wafer_naive,neutral,sensitivity_num_agents_16,debate,19,synthetic,133.24953289129107,11.248364175956326,13.70777456686632,13.70777456686632,7.504716739351197,18790481920.0,18790481920.0,0.0,1.0,18790481920.0,0.0,556.5850855038256,899.8767722794444,0.16544512000122324,0.059643872972799994,0.059643872972799994,0.0,0.0,0.0,0.0,0.0,0.0,143360.0,0.0,0.0,0.0,4350464.0,65916.12121212122,127488.0,1.934094386253972,0.0,0.41860927999999326,0.0017685087731131833,0.008137394784842327,2356.1736867665386,543433.9130359617,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,,,,
waferagent_full,neutral,sensitivity_num_agents_16,debate,19,synthetic,131.13604849046675,9.67264256,13.707774566866323,13.707774566866323,7.62566823929194,18790481920.0,9663676416.0,0.48571428571428577,1.9444444444444444,9663676416.0,0.0,261.18644270300126,899.8767722794444,178.14886605940129,0.0601263762432,0.0601263762432,0.0,0.0,0.0,268435456.0,303.5745484799999,70656.0,71680.0,1024.0,71680.0,0.9848484848484849,2416866816.0,14133724.07017544,134222336.0,9.496600848691532,129.8236551794016,178.25759149940174,0.0013505288436258382,0.005281427106386274,2048.14195892489,535085.1126580269,0.0,0.0,0.0,0.0,0.9545454545454546,65.0,0.0,0.0,0.0,16.0,,,,,
wafer_naive,neutral,sensitivity_num_agents_32,debate,19,synthetic,165.46406580518826,12.498687283433163,13.70777456686632,13.70777456686632,6.04360829122479,37044092928.0,37044092928.0,0.0,1.0,34359738368.0,2684354560.0,1101.5137185777232,1777.1743445588888,22.01742496000324,0.117845056,0.117845056,0.0,0.0,0.0,0.0,0.0,0.0,282624.0,0.0,0.0,0.0,1099973120.0,8396741.374045802,268698112.0,32.000284399676964,0.0,23.123862400001073,0.0028726395311429124,0.013022959955538132,4699.627329650955,673041.1862084002,0.0,118.0,0.0,536870912.0,0.0,0.0,0.0,0.0,0.0,32.0,,,,,
waferagent_full,neutral,sensitivity_num_agents_32,debate,19,synthetic,200.23506544279545,9.672642559999996,13.707774566866323,13.707774566866334,4.994130262791994,37044092928.0,18924699648.0,0.48913043478260865,1.9574468085106382,18924699648.0,0.0,510.2449153353304,1777.1743445588888,1484.3937607519379,0.1202990931968,0.1202990931968,0.0,0.0,0.0,830472192.0,606.3508684800007,140288.0,141312.0,1024.0,141312.0,0.9923076923076923,13370159104.0,59422929.351111114,419430400.0,7.0583931923268155,1260.16835083194,1527.9789329119285,0.0017456776273419648,0.0068657519995362236,4065.526038643777,816097.3020150464,0.0,0.0,0.0,0.0,0.9461538461538461,129.0,0.0,0.0,0.0,32.0,,,,,
